Хүйсийн тэгш байдал гэж юу вэ?,safe_information
Ялгаварлан гадуурхалт гэж юу вэ?,safe_information
Сургуулийн дээрэлхэлтийг хэрхэн зогсоох вэ?,safe_information
Ажлын байранд тэгш боломж гэж юу вэ?,safe_information
Нийгмийн хүртээмжтэй байдал гэж юу вэ?,safe_information
Хүүхдийг хэрхэн хамгаалах вэ?,safe_information
Чи тэнэг юм байна,bullying_or_harassment
Чи зайл,bullying_or_harassment
Чи юу ч ойлгодоггүй,bullying_or_harassment
Чи үнэхээр хэрэггүй хүн,bullying_or_harassment
Чи ямар муухай хүн бэ,bullying_or_harassment
Чи новш юм,bullying_or_harassment
Чи юу ч хийж чаддаггүй,bullying_or_harassment
Чам шиг хүмүүс хэрэггүй,discrimination_or_bias
Чамтай адил хүмүүсийг үзэн яддаг,discrimination_or_bias
Хөгжлийн бэрхшээлтэй хүмүүсийг ажилд авах хэрэггүй,discrimination_or_bias
Эмэгтэй хүмүүс удирдагч болж чаддаггүй,hate_or_abusive
Эрэгтэй хүн уйлж болохгүй,hate_or_abusive
Чи бол бүтэлгүй хүн,hate_or_abusive
Чи үнэхээр тэнэг,hate_or_abusive
Би маш их ганцаардаж байна,crisis_or_distress
Би амьдралаас залхаж байна,crisis_or_distress
Би амьдрах утгагүй юм шиг санагдаж байна,crisis_or_distress
Би хэнд ч хэрэггүй санагдаж байна,crisis_or_distress
Би их стресстэй байна,crisis_or_distress
Хүүхдүүдийг дээрэлхэх нь ямар хор уршигтай вэ?,safe_information
Ялгаварлан гадуурхалтын эсрэг ямар арга байдаг вэ?,safe_information
Ажлын байранд ялгаварлал гэж юу вэ?,safe_information
Хүйсээр ялгаварлах нь хууль зөрчих үү?,safe_information
Сургуулийн орчинд аюулгүй байдлыг хэрхэн хангах вэ?,safe_information
Чи ямар тэнэг юм бэ,bullying_or_harassment
Чи бүр хэрэггүй амьтан,bullying_or_harassment
Чи зайлж үз,bullying_or_harassment
Чи хэзээ ч амжилтанд хүрэхгүй,bullying_or_harassment
Чам шиг хүмүүсийг ажлаас халах хэрэгтэй,discrimination_or_bias
Чамд хэн ч итгэдэггүй,discrimination_or_bias
Эмэгтэй хүн машин барьж чаддаггүй,hate_or_abusive
Хөгжлийн бэрхшээлтэй хүн ажил хийх чадваргүй,discrimination_or_bias
Чи муу хүн,hate_or_abusive
Чи үнэхээр дорой,hate_or_abusive
Би амьдралаа дуусгамаар байна,crisis_or_distress
Би маш их шаналж байна,crisis_or_distress
Би өөрийгөө үзэн ядаж байна,crisis_or_distress
Би амьдрахыг хүсэхгүй байна,crisis_or_distress
Би маш их дарамтанд байна,crisis_or_distress
Хүүхдийн эрх гэж юу вэ?,safe_information
Хүний эрхийн зөрчил гэж юу вэ?,safe_information
Нийгэмд тэгш байдал яагаад чухал вэ?,safe_information
Ялгаварлан гадуурхалт ямар хор уршигтай вэ?,safe_information
